Académie Lib L;Diplôme regroupé Lib L;Département Lib L;Série du baccalauréat Lib L;Nombre total d'admis;Nombre de présents;Série du baccalauréat Lib C;Sexe;Session;Situation déclarée candidat;Secteur d'enseignement;Contrat de l'établissement;TAUX DE REUSSITE (col E / col F * 100)
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC SCIENTIFIQUE;0;6;BAC S;1;1997;2;-;-;0
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC SCIENTIFIQUE;228;327;BAC S;1;1997;1;1;X;69,72477064
BORDEAUX;BAC GENERAL;GIRONDE;BAC SCIENTIFIQUE;18;38;BAC S;1;1997;2;-;-;47,36842105
ORLEANS-TOURS;BAC GENERAL;INDRE-ET-LOIRE;BAC SCIENTIFIQUE;1;6;BAC S;2;1997;2;-;-;16,66666667
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC SCIENTIFIQUE;7;27;BAC S;1;1997;2;-;-;25,92592593
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC SCIENTIFIQUE;8;20;BAC S;1;1997;5;1;X;40
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC SCIENTIFIQUE;1;6;BAC S;2;1997;2;-;-;16,66666667
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC ECONOMIQUE ET SOCIAL;6;11;BAC ES;1;1997;2;-;-;54,54545455
ORLEANS-TOURS;BAC GENERAL;INDRE;BAC LITTERAIRE;2;3;BAC L;1;1997;2;-;-;66,66666667
MONTPELLIER;BAC GENERAL;HERAULT;BAC LITTERAIRE;4;7;BAC L;1;1997;1;2;0;57,14285714
RENNES;BAC GENERAL;ILLE-ET-VILAINE;BAC LITTERAIRE;2;3;BAC L;1;1997;1;2;0;66,66666667
LYON;BAC GENERAL;LOIRE;BAC LITTERAIRE;92;117;BAC L;1;1997;1;1;X;78,63247863
BESANCON;BAC GENERAL;JURA;BAC LITTERAIRE;176;224;BAC L;2;1997;1;1;X;78,57142857
